Article,Vital_Level,Vital_Category,Level_Quota,SubPage_Quota
Sprite (lightning),5,Earth science,4800,1200
St. Elmo's fire,5,Earth science,4800,1200
Staurolite,5,Earth science,4800,1200
Steam devil,5,Earth science,4800,1200
Stibnite,5,Earth science,4800,1200
Stilbite,5,Earth science,4800,1200
Storm surge,5,Earth science,4800,1200
Stratigraphic unit,5,Earth science,4800,1200
Stratocumulus cloud,5,Earth science,4800,1200
Stratosphere,5,Earth science,4800,1200
Stratus cloud,5,Earth science,4800,1200
Sturtian glaciation,5,Earth science,4800,1200
Subarctic climate,5,Earth science,4800,1200
Sulfate mineral,5,Earth science,4800,1200
Sulfide mineral,5,Earth science,4800,1200
Sun dog,5,Earth science,4800,1200
Sunlight,5,Earth science,4800,1200
Supercell,5,Earth science,4800,1200
Supercontinent,5,Earth science,4800,1200
Surface weather analysis,5,Earth science,4800,1200
Surface weather observation,5,Earth science,4800,1200
Suspended load,5,Earth science,4800,1200
Sylvite,5,Earth science,4800,1200
Tantalite,5,Earth science,4800,1200
Tanzanite,5,Earth science,4800,1200
Tectonite,5,Earth science,4800,1200
Telluric iron,5,Earth science,4800,1200
Temperate coniferous forest,5,Earth science,4800,1200
Temperate deciduous forest,5,Earth science,4800,1200
Temperate forest,5,Earth science,4800,1200
"Temperate grasslands, savannas, and shrublands",5,Earth science,4800,1200
Temperate rainforest,5,Earth science,4800,1200
Terra Australis Orogen,5,Earth science,4800,1200
Tethys Ocean,5,Earth science,4800,1200
Theory of tides,5,Earth science,4800,1200
Thermochronology,5,Earth science,4800,1200
Thermocline,5,Earth science,4800,1200
Thermosphere,5,Earth science,4800,1200
Thorianite,5,Earth science,4800,1200
Thunder,5,Earth science,4800,1200
Till,5,Earth science,4800,1200
Tilth,5,Earth science,4800,1200
Tipping points in the climate system,5,Earth science,4800,1200
Titanite,5,Earth science,4800,1200
Topaz,5,Earth science,4800,1200
Topsoil,5,Earth science,4800,1200
Tourmaline,5,Earth science,4800,1200
Trace element,5,Earth science,4800,1200
Tragedy of the commons,5,Earth science,4800,1200
Troilite,5,Earth science,4800,1200
Tropical and subtropical coniferous forests,5,Earth science,4800,1200
Tropical and subtropical dry broadleaf forests,5,Earth science,4800,1200
"Tropical and subtropical grasslands, savannas, and shrublands",5,Earth science,4800,1200
Tropical and subtropical moist broadleaf forests,5,Earth science,4800,1200
Tropical cyclogenesis,5,Earth science,4800,1200
Tropical cyclone forecasting,5,Earth science,4800,1200
Tropical cyclone preparedness,5,Earth science,4800,1200
Tropical cyclone rainfall forecasting,5,Earth science,4800,1200
Tropical cyclone track forecasting,5,Earth science,4800,1200
Tropical forest,5,Earth science,4800,1200
Tropical monsoon climate,5,Earth science,4800,1200
Tropical rainforest climate,5,Earth science,4800,1200
Tropical savanna climate,5,Earth science,4800,1200
Troposphere,5,Earth science,4800,1200
Tugtupite,5,Earth science,4800,1200
Turbidite,5,Earth science,4800,1200
Turquoise,5,Earth science,4800,1200
Typhoon,5,Earth science,4800,1200
Ulexite,5,Earth science,4800,1200
Umber,5,Earth science,4800,1200
Ur (continent),5,Earth science,4800,1200
Uraninite,5,Earth science,4800,1200
Uranium–lead dating,5,Earth science,4800,1200
Vaalbara,5,Earth science,4800,1200
Van Allen radiation belt,5,Earth science,4800,1200
Vermiculite,5,Earth science,4800,1200
Vertical draft,5,Earth science,4800,1200
Volcanic glass,5,Earth science,4800,1200
Volcanic rock,5,Earth science,4800,1200
Waterspout,5,Earth science,4800,1200
Weather station,5,Earth science,4800,1200
Westerlies,5,Earth science,4800,1200
Western Interior Seaway,5,Earth science,4800,1200
Wet season,5,Earth science,4800,1200
Whirlwind,5,Earth science,4800,1200
Whiteout (weather),5,Earth science,4800,1200
Wilderness,5,Earth science,4800,1200
Wind shear,5,Earth science,4800,1200
Winter storm,5,Earth science,4800,1200
Wolframite,5,Earth science,4800,1200
Wollastonite,5,Earth science,4800,1200
Woodland,5,Earth science,4800,1200
Yellowstone hotspot,5,Earth science,4800,1200
Zeolite,5,Earth science,4800,1200
Zircon,5,Earth science,4800,1200
Δ13C,5,Earth science,4800,1200
Δ18O,5,Earth science,4800,1200
Abrasion (geology),5,Earth science,4800,1200
Abyssal zone,5,Earth science,4800,1200
Accretionary wedge,5,Earth science,4800,1200
African plate,5,Earth science,4800,1200
Alluvial river,5,Earth science,4800,1200
Alpine lake,5,Earth science,4800,1200
Amur plate,5,Earth science,4800,1200
Antarctic plate,5,Earth science,4800,1200
Anticline,5,Earth science,4800,1200
Aphotic zone,5,Earth science,4800,1200
Aquatic ecosystem,5,Earth science,4800,1200
Aquifer,5,Earth science,4800,1200
Arabian plate,5,Earth science,4800,1200
Arroyo (watercourse),5,Earth science,4800,1200
Artesian well,5,Earth science,4800,1200
Asthenosphere,5,Earth science,4800,1200
Avulsion (river),5,Earth science,4800,1200
Back-arc basin,5,Earth science,4800,1200
Badlands,5,Earth science,4800,1200
Bar (river morphology),5,Earth science,4800,1200
Barrier island,5,Earth science,4800,1200
Basal sliding,5,Earth science,4800,1200
Basement (geology),5,Earth science,4800,1200
Bathypelagic zone,5,Earth science,4800,1200
Bay mud,5,Earth science,4800,1200
Bedrock river,5,Earth science,4800,1200
Benthic zone,5,Earth science,4800,1200
Biozone,5,Earth science,4800,1200
Boudinage,5,Earth science,4800,1200
Brackish water,5,Earth science,4800,1200
Braided river,5,Earth science,4800,1200
Brine,5,Earth science,4800,1200
Brittle–ductile transition zone,5,Earth science,4800,1200
Butte,5,Earth science,4800,1200
Caldera,5,Earth science,4800,1200
Cape (geography),5,Earth science,4800,1200
Caribbean plate,5,Earth science,4800,1200
Cenote,5,Earth science,4800,1200
Cinder cone,5,Earth science,4800,1200
Cirque,5,Earth science,4800,1200
Cleavage (geology),5,Earth science,4800,1200
Cliffed coast,5,Earth science,4800,1200
Coastal geography,5,Earth science,4800,1200
Cocos plate,5,Earth science,4800,1200
Complex volcano,5,Earth science,4800,1200
Confluence,5,Earth science,4800,1200
Contact (geology),5,Earth science,4800,1200
Continental crust,5,Earth science,4800,1200
Continental drift,5,Earth science,4800,1200
Continental fragment,5,Earth science,4800,1200
Continental margin,5,Earth science,4800,1200
Continental rise,5,Earth science,4800,1200
Convergent boundary,5,Earth science,4800,1200
Coral island,5,Earth science,4800,1200
Core–mantle boundary,5,Earth science,4800,1200
Craton,5,Earth science,4800,1200
Cratonic sequence,5,Earth science,4800,1200
Crenulation,5,Earth science,4800,1200
Crevasse,5,Earth science,4800,1200
Cut bank,5,Earth science,4800,1200
Deep-sea community,5,Earth science,4800,1200
Depression (geology),5,Earth science,4800,1200
Detachment fault,5,Earth science,4800,1200
Discharge (hydrology),5,Earth science,4800,1200
Distributary,5,Earth science,4800,1200
Divergent boundary,5,Earth science,4800,1200
Ductility (Earth science),5,Earth science,4800,1200
Décollement,5,Earth science,4800,1200
Ekman transport,5,Earth science,4800,1200
Endorheic basin,5,Earth science,4800,1200
Escarpment,5,Earth science,4800,1200
Esker,5,Earth science,4800,1200
Eurasian plate,5,Earth science,4800,1200
Eutrophication,5,Earth science,4800,1200
Fabric (geology),5,Earth science,4800,1200
Facies,5,Earth science,4800,1200
Farallon plate,5,Earth science,4800,1200
Fault block,5,Earth science,4800,1200
Flash flood,5,Earth science,4800,1200
Flat coast,5,Earth science,4800,1200
Flood basalt,5,Earth science,4800,1200
Fold mountains,5,Earth science,4800,1200
Foliation (geology),5,Earth science,4800,1200
Forearc,5,Earth science,4800,1200
Foreland basin,5,Earth science,4800,1200
Fracture (geology),5,Earth science,4800,1200
Fresh water,5,Earth science,4800,1200
Freshwater ecosystem,5,Earth science,4800,1200
Fumarole,5,Earth science,4800,1200
Geologic province,5,Earth science,4800,1200
Geological formation,5,Earth science,4800,1200
Glacial lake,5,Earth science,4800,1200
Glaciology,5,Earth science,4800,1200
Greenstone belt,5,Earth science,4800,1200
Groundwater recharge,5,Earth science,4800,1200
Gully,5,Earth science,4800,1200
Guyot,5,Earth science,4800,1200
Hadal zone,5,Earth science,4800,1200
Headland,5,Earth science,4800,1200
Highland,5,Earth science,4800,1200
Hot spring,5,Earth science,4800,1200
Hummock,5,Earth science,4800,1200
Indo-Australian plate,5,Earth science,4800,1200
Intertidal zone,5,Earth science,4800,1200
Islet,5,Earth science,4800,1200
Isostatic depression,5,Earth science,4800,1200
Isthmus,5,Earth science,4800,1200
Joint (geology),5,Earth science,4800,1200
Juan de Fuca plate,5,Earth science,4800,1200
Kelp forest,5,Earth science,4800,1200
Lahar,5,Earth science,4800,1200
Lake ecosystem,5,Earth science,4800,1200
Lake island,5,Earth science,4800,1200
Lake stratification,5,Earth science,4800,1200
Large igneous province,5,Earth science,4800,1200
Lava dome,5,Earth science,4800,1200
Lava field,5,Earth science,4800,1200
Lava tube,5,Earth science,4800,1200
Law of superposition,5,Earth science,4800,1200
Lineation (geology),5,Earth science,4800,1200
List of index fossils,5,Earth science,4800,1200
Littoral zone,5,Earth science,4800,1200
Lower mantle,5,Earth science,4800,1200
Maar,5,Earth science,4800,1200
Magma chamber,5,Earth science,4800,1200
Mangrove forest,5,Earth science,4800,1200
Marine chemistry,5,Earth science,4800,1200
Marine coastal ecosystem,5,Earth science,4800,1200
Marine ecosystem,5,Earth science,4800,1200
Marine habitat,5,Earth science,4800,1200
Marine life,5,Earth science,4800,1200
Marine regression,5,Earth science,4800,1200
Marine sediment,5,Earth science,4800,1200
Marine transgression,5,Earth science,4800,1200
Mass wasting,5,Earth science,4800,1200
Megatsunami,5,Earth science,4800,1200
Mesopelagic zone,5,Earth science,4800,1200
Methane clathrate,5,Earth science,4800,1200
Mountain formation,5,Earth science,4800,1200
Mountain pass,5,Earth science,4800,1200
Mudflat,5,Earth science,4800,1200
Mudflow,5,Earth science,4800,1200
Nazca plate,5,Earth science,4800,1200
Neritic zone,5,Earth science,4800,1200
Neuston,5,Earth science,4800,1200
North American plate,5,Earth science,4800,1200
Ocean dynamics,5,Earth science,4800,1200
Ocean surface ecosystem,5,Earth science,4800,1200
Ocean surface topography,5,Earth science,4800,1200
Ocean temperature,5,Earth science,4800,1200
Oceanic basin,5,Earth science,4800,1200
Oceanic crust,5,Earth science,4800,1200
Oceanic zone,5,Earth science,4800,1200
Okhotsk plate,5,Earth science,4800,1200
Orogeny,5,Earth science,4800,1200
Oxbow lake,5,Earth science,4800,1200
Pacific plate,5,Earth science,4800,1200
Parasequence,5,Earth science,4800,1200
Passive margin,5,Earth science,4800,1200
Past sea level,5,Earth science,4800,1200
Pelagic zone,5,Earth science,4800,1200
Philippine Sea plate,5,Earth science,4800,1200
Photic zone,5,Earth science,4800,1200
Pluvial lake,5,Earth science,4800,1200
Point bar,5,Earth science,4800,1200
Post-glacial rebound,5,Earth science,4800,1200
Proglacial lake,5,Earth science,4800,1200
Promontory,5,Earth science,4800,1200
Puddle,5,Earth science,4800,1200
Pull-apart basin,5,Earth science,4800,1200
Pyroclastic flow,5,Earth science,4800,1200
Ravine,5,Earth science,4800,1200
Reef,5,Earth science,4800,1200
Ridge,5,Earth science,4800,1200
Rift,5,Earth science,4800,1200
Rift lake,5,Earth science,4800,1200
Rift valley,5,Earth science,4800,1200
Rip current,5,Earth science,4800,1200
River ecosystem,5,Earth science,4800,1200
River island,5,Earth science,4800,1200
River morphology,5,Earth science,4800,1200
River mouth,5,Earth science,4800,1200
River source,5,Earth science,4800,1200
Rockslide,5,Earth science,4800,1200
Rogue wave,5,Earth science,4800,1200
Saline water,5,Earth science,4800,1200
Salinity,5,Earth science,4800,1200
Salt lake,5,Earth science,4800,1200
Salt pan (geology),5,Earth science,4800,1200
Scotia plate,5,Earth science,4800,1200
Scree,5,Earth science,4800,1200
Sea cave,5,Earth science,4800,1200
Sea level rise,5,Earth science,4800,1200
Sea surface microlayer,5,Earth science,4800,1200
Sea surface temperature,5,Earth science,4800,1200
Seagrass meadow,5,Earth science,4800,1200
Seawater,5,Earth science,4800,1200
Sequence (geology),5,Earth science,4800,1200
Series (stratigraphy),5,Earth science,4800,1200
Shear (geology),5,Earth science,4800,1200
Shear zone,5,Earth science,4800,1200
Shield (geology),5,Earth science,4800,1200
Shield volcano,5,Earth science,4800,1200
Shingle beach,5,Earth science,4800,1200
Shoal,5,Earth science,4800,1200
Sinkhole,5,Earth science,4800,1200
Slab (geology),5,Earth science,4800,1200
Slab pull,5,Earth science,4800,1200
Solutional cave,5,Earth science,4800,1200
Somali plate,5,Earth science,4800,1200
South American plate,5,Earth science,4800,1200
Speleology,5,Earth science,4800,1200
Speleothem,5,Earth science,4800,1200
Stack (geology),5,Earth science,4800,1200
Stage (stratigraphy),5,Earth science,4800,1200
Stalactite,5,Earth science,4800,1200
Stalagmite,5,Earth science,4800,1200
Strait,5,Earth science,4800,1200
Stratigraphic section,5,Earth science,4800,1200
Stratovolcano,5,Earth science,4800,1200
Stratum,5,Earth science,4800,1200
Stream,5,Earth science,4800,1200
Stream bed,5,Earth science,4800,1200
Streamflow,5,Earth science,4800,1200
Strike and dip,5,Earth science,4800,1200
Structural basin,5,Earth science,4800,1200
Structural geology,5,Earth science,4800,1200
Subduction,5,Earth science,4800,1200
Submarine volcano,5,Earth science,4800,1200
Subsidence,5,Earth science,4800,1200
Summit,5,Earth science,4800,1200
Sunda plate,5,Earth science,4800,1200
Supervolcano,5,Earth science,4800,1200
Syncline,5,Earth science,4800,1200
System (stratigraphy),5,Earth science,4800,1200
Tectonic uplift,5,Earth science,4800,1200
Terrace (geology),5,Earth science,4800,1200
Thalweg,5,Earth science,4800,1200
Tidal island,5,Earth science,4800,1200
Tidal range,5,Earth science,4800,1200
Tide pool,5,Earth science,4800,1200
Tor (rock formation),5,Earth science,4800,1200
Transform fault,5,Earth science,4800,1200
Transition zone (Earth),5,Earth science,4800,1200
Tributary,5,Earth science,4800,1200
Triple junction,5,Earth science,4800,1200
Turbidity current,5,Earth science,4800,1200
Type locality (geology),5,Earth science,4800,1200
U-shaped valley,5,Earth science,4800,1200
Unconformity,5,Earth science,4800,1200
Underground lake,5,Earth science,4800,1200
Uninhabited island,5,Earth science,4800,1200
Upland and lowland,5,Earth science,4800,1200
Upper mantle,5,Earth science,4800,1200
Upwelling,5,Earth science,4800,1200
Vein (geology),5,Earth science,4800,1200
Volatile (astrogeology),5,Earth science,4800,1200
Volcanic arc,5,Earth science,4800,1200
Volcanic cone,5,Earth science,4800,1200
Volcanic crater,5,Earth science,4800,1200
Volcanic crater lake,5,Earth science,4800,1200
Volcanic island,5,Earth science,4800,1200
Volcanic plug,5,Earth science,4800,1200
Volcanism,5,Earth science,4800,1200
Volcanology,5,Earth science,4800,1200
Wadi,5,Earth science,4800,1200
Water quality,5,Earth science,4800,1200
Whirlpool,5,Earth science,4800,1200
Wind wave,5,Earth science,4800,1200
AC power,5,Physics,4800,1200
Absolute space and time,5,Physics,4800,1200
Absorption (electromagnetic radiation),5,Physics,4800,1200
Absorption band,5,Physics,4800,1200
Action (physics),5,Physics,4800,1200
Action at a distance,5,Physics,4800,1200
AdS/CFT correspondence,5,Physics,4800,1200
Adobe RGB color space,5,Physics,4800,1200
Amber (color),5,Physics,4800,1200
Ampère's circuital law,5,Physics,4800,1200
Ampère's force law,5,Physics,4800,1200
Analytical mechanics,5,Physics,4800,1200
Angle of repose,5,Physics,4800,1200
Angular acceleration,5,Physics,4800,1200
Angular displacement,5,Physics,4800,1200
Angular frequency,5,Physics,4800,1200
Angular momentum operator,5,Physics,4800,1200
Angular velocity,5,Physics,4800,1200
Antiferromagnetism,5,Physics,4800,1200
Archimedes' principle,5,Physics,4800,1200
Arrow of time,5,Physics,4800,1200
Atmospheric physics,5,Physics,4800,1200
Atomic packing factor,5,Physics,4800,1200
Azimuthal quantum number,5,Physics,4800,1200
Azure (color),5,Physics,4800,1200
BKS theory,5,Physics,4800,1200
Background radiation,5,Physics,4800,1200
Band gap,5,Physics,4800,1200
Beige,5,Physics,4800,1200
Bell's theorem,5,Physics,4800,1200
Bell test,5,Physics,4800,1200
Berman flow,5,Physics,4800,1200
Biophysics,5,Physics,4800,1200
Biot–Savart law,5,Physics,4800,1200
Blacklight,5,Physics,4800,1200
Bloch's theorem,5,Physics,4800,1200
Bohr magneton,5,Physics,4800,1200
Bohr radius,5,Physics,4800,1200
Boiling point,5,Physics,4800,1200
Boltzmann constant,5,Physics,4800,1200
Bonding in solids,5,Physics,4800,1200
Born rule,5,Physics,4800,1200
Bose gas,5,Physics,4800,1200
Bouncing ball,5,Physics,4800,1200
Bound state,5,Physics,4800,1200
Boundary layer,5,Physics,4800,1200
Bravais lattice,5,Physics,4800,1200
Bra–ket notation,5,Physics,4800,1200
Brillouin zone,5,Physics,4800,1200
Brittleness,5,Physics,4800,1200
Bronze (color),5,Physics,4800,1200
Bubble chamber,5,Physics,4800,1200
Bulk modulus,5,Physics,4800,1200
Burgundy (color),5,Physics,4800,1200
CIELAB color space,5,Physics,4800,1200
CIELUV,5,Physics,4800,1200
CIE 1931 color space,5,Physics,4800,1200
Canonical coordinates,5,Physics,4800,1200
Casimir effect,5,Physics,4800,1200
Cauchy stress tensor,5,Physics,4800,1200
Cavendish experiment,5,Physics,4800,1200
Center of mass,5,Physics,4800,1200
Central force,5,Physics,4800,1200
Centrifugal force,5,Physics,4800,1200
Cerulean,5,Physics,4800,1200
Charge density,5,Physics,4800,1200
Chartreuse (color),5,Physics,4800,1200
Chasles' theorem (kinematics),5,Physics,4800,1200
Chemical physics,5,Physics,4800,1200
Cherenkov radiation,5,Physics,4800,1200
Chromaticity,5,Physics,4800,1200
Circular motion,5,Physics,4800,1200
Circulation (physics),5,Physics,4800,1200
Classical electromagnetism,5,Physics,4800,1200
Classical field theory,5,Physics,4800,1200
Classical limit,5,Physics,4800,1200
Classical physics,5,Physics,4800,1200
Collision,5,Physics,4800,1200
Color model,5,Physics,4800,1200
Color space,5,Physics,4800,1200
Communicating vessels,5,Physics,4800,1200
Compressible flow,5,Physics,4800,1200
Compression (physics),5,Physics,4800,1200
Compton scattering,5,Physics,4800,1200
Compton wavelength,5,Physics,4800,1200
Computational fluid dynamics,5,Physics,4800,1200
Computational physics,5,Physics,4800,1200
Conformal field theory,5,Physics,4800,1200
Conservation law,5,Physics,4800,1200
Conservative force,5,Physics,4800,1200
Constant of motion,5,Physics,4800,1200
Contact mechanics,5,Physics,4800,1200
Cooper pair,5,Physics,4800,1200
Coordination number,5,Physics,4800,1200
Copenhagen interpretation,5,Physics,4800,1200
Correspondence principle,5,Physics,4800,1200
Crimson,5,Physics,4800,1200
Cross section (physics),5,Physics,4800,1200
Crystal engineering,5,Physics,4800,1200
Crystal growth,5,Physics,4800,1200
Crystal optics,5,Physics,4800,1200
Crystal polymorphism,5,Physics,4800,1200
Crystal structure,5,Physics,4800,1200
Crystal system,5,Physics,4800,1200
Crystal twinning,5,Physics,4800,1200
Crystallite,5,Physics,4800,1200
Crystallographic defect,5,Physics,4800,1200
Cubic crystal system,5,Physics,4800,1200
Curie temperature,5,Physics,4800,1200
Current density,5,Physics,4800,1200
Curved spacetime,5,Physics,4800,1200
Cyan,5,Physics,4800,1200
Cyclotron radiation,5,Physics,4800,1200
D'Alembert's principle,5,Physics,4800,1200
DCI-P3,5,Physics,4800,1200
Damping,5,Physics,4800,1200
Davisson–Germer experiment,5,Physics,4800,1200
De Broglie–Bohm theory,5,Physics,4800,1200
Debye length,5,Physics,4800,1200
Deformation (physics),5,Physics,4800,1200
Degenerate energy levels,5,Physics,4800,1200
Degrees of freedom (mechanics),5,Physics,4800,1200
Delta potential,5,Physics,4800,1200
Density functional theory,5,Physics,4800,1200
Depletion region,5,Physics,4800,1200
Deposition (phase transition),5,Physics,4800,1200
Diamagnetism,5,Physics,4800,1200
Diffusion equation,5,Physics,4800,1200
Dirac equation,5,Physics,4800,1200
Dislocation,5,Physics,4800,1200
Displacement (geometry),5,Physics,4800,1200
Displacement current,5,Physics,4800,1200
Double-slit experiment,5,Physics,4800,1200
Ductility,5,Physics,4800,1200
EciRGB,5,Physics,4800,1200
Egyptian blue,5,Physics,4800,1200
Ehrenfest theorem,5,Physics,4800,1200
Einstein coefficients,5,Physics,4800,1200
Einstein field equations,5,Physics,4800,1200
Einstein solid,5,Physics,4800,1200
Einstein–Podolsky–Rosen paradox,5,Physics,4800,1200
Elastic collision,5,Physics,4800,1200
Electric-field screening,5,Physics,4800,1200
Electric dipole moment,5,Physics,4800,1200
Electric displacement field,5,Physics,4800,1200
Electric flux,5,Physics,4800,1200
Electric potential energy,5,Physics,4800,1200
Electric power,5,Physics,4800,1200
Electric susceptibility,5,Physics,4800,1200
Electrical conductor,5,Physics,4800,1200
Electrical reactance,5,Physics,4800,1200
Electrical resistivity and conductivity,5,Physics,4800,1200
Electrode,5,Physics,4800,1200
Electromagnetic four-potential,5,Physics,4800,1200
Electromagnetic wave equation,5,Physics,4800,1200
Electron diffraction,5,Physics,4800,1200
Electron hole,5,Physics,4800,1200
Electron magnetic moment,5,Physics,4800,1200
Electronic band structure,5,Physics,4800,1200
Electrostatic induction,5,Physics,4800,1200
Elementary charge,5,Physics,4800,1200
Emission spectrum,5,Physics,4800,1200
Energy density,5,Physics,4800,1200
Energy–momentum relation,5,Physics,4800,1200
Equations for a falling body,5,Physics,4800,1200
Equipotential,5,Physics,4800,1200
Euler equations (fluid dynamics),5,Physics,4800,1200
Euler–Lagrange equation,5,Physics,4800,1200
Evanescent field,5,Physics,4800,1200
Excited state,5,Physics,4800,1200
Exotic atom,5,Physics,4800,1200
Exotic matter,5,Physics,4800,1200
Expectation value (quantum mechanics),5,Physics,4800,1200
Experimental physics,5,Physics,4800,1200
Faraday's law of induction,5,Physics,4800,1200
Faraday effect,5,Physics,4800,1200
Faster-than-light,5,Physics,4800,1200
Fermi's golden rule,5,Physics,4800,1200
Fermi gas,5,Physics,4800,1200
Fermi level,5,Physics,4800,1200
Fermi surface,5,Physics,4800,1200
Ferrimagnetism,5,Physics,4800,1200
Fictitious force,5,Physics,4800,1200
Fifth force,5,Physics,4800,1200
Fine-structure constant,5,Physics,4800,1200
Fine structure,5,Physics,4800,1200
Finite potential well,5,Physics,4800,1200
Finite strain theory,5,Physics,4800,1200
First observation of gravitational waves,5,Physics,4800,1200
Flow measurement,5,Physics,4800,1200
Flow velocity,5,Physics,4800,1200
Flow visualization,5,Physics,4800,1200
Fluid,5,Physics,4800,1200
Force field (physics),5,Physics,4800,1200
Foucault's measurements of the speed of light,5,Physics,4800,1200
Four-momentum,5,Physics,4800,1200
Four-vector,5,Physics,4800,1200
Fracture toughness,5,Physics,4800,1200
Franck–Hertz experiment,5,Physics,4800,1200
Free body diagram,5,Physics,4800,1200
Free electron model,5,Physics,4800,1200
Free fall,5,Physics,4800,1200
Free particle,5,Physics,4800,1200
Free surface effect,5,Physics,4800,1200
Fuchsia (color),5,Physics,4800,1200
Fundamental interaction,5,Physics,4800,1200
G-factor (physics),5,Physics,4800,1200
Galilean invariance,5,Physics,4800,1200
Galilean transformation,5,Physics,4800,1200
Gamut,5,Physics,4800,1200
Gauss's law,5,Physics,4800,1200
Gauss's law for magnetism,5,Physics,4800,1200
General covariance,5,Physics,4800,1200
Generalized coordinates,5,Physics,4800,1200
Geodesics in general relativity,5,Physics,4800,1200
Gold (color),5,Physics,4800,1200
Grain boundary,5,Physics,4800,1200
Grain growth,5,Physics,4800,1200
Gravitational constant,5,Physics,4800,1200
Gravitational field,5,Physics,4800,1200
Gravitational potential,5,Physics,4800,1200
Gravitational singularity,5,Physics,4800,1200
Gravitational time dilation,5,Physics,4800,1200
Ground (electricity),5,Physics,4800,1200
Ground state,5,Physics,4800,1200
Gyromagnetic ratio,5,Physics,4800,1200
HCL color space,5,Physics,4800,1200
HSL and HSV,5,Physics,4800,1200
HWB color model,5,Physics,4800,1200
Hagen–Poiseuille equation,5,Physics,4800,1200
Hall effect,5,Physics,4800,1200
Hamiltonian (quantum mechanics),5,Physics,4800,1200
Hawking radiation,5,Physics,4800,1200
Hexagonal crystal family,5,Physics,4800,1200
Hidden-variable theory,5,Physics,4800,1200
High-temperature superconductivity,5,Physics,4800,1200
Homogeneity (physics),5,Physics,4800,1200
Hubbard model,5,Physics,4800,1200
Hue,5,Physics,4800,1200
Hydrogen-alpha,5,Physics,4800,1200
Hydrogen line,5,Physics,4800,1200
Hydrogen spectral series,5,Physics,4800,1200
Hydrostatic equilibrium,5,Physics,4800,1200
Hydrostatics,5,Physics,4800,1200
Hyperfine structure,5,Physics,4800,1200
Hysteresis,5,Physics,4800,1200
ISCC–NBS system,5,Physics,4800,1200
Impact (mechanics),5,Physics,4800,1200
Impedance of free space,5,Physics,4800,1200
Impossible color,5,Physics,4800,1200
Incompressible flow,5,Physics,4800,1200
Indigo,5,Physics,4800,1200
Inelastic collision,5,Physics,4800,1200
Inertial frame of reference,5,Physics,4800,1200
Instability,5,Physics,4800,1200
Insulator (electricity),5,Physics,4800,1200
Interpretations of quantum mechanics,5,Physics,4800,1200
Introduction to gauge theory,5,Physics,4800,1200
Introduction to general relativity,5,Physics,4800,1200
Introduction to quantum mechanics,5,Physics,4800,1200
Invariant (physics),5,Physics,4800,1200
Irradiance,5,Physics,4800,1200
Ising model,5,Physics,4800,1200
Jeffery–Hamel flow,5,Physics,4800,1200
Jerk (physics),5,Physics,4800,1200
Josephson effect,5,Physics,4800,1200
Joule heating,5,Physics,4800,1200
Kelvin's circulation theorem,5,Physics,4800,1200
Kepler problem,5,Physics,4800,1200
Kerr–Newman metric,5,Physics,4800,1200
Ladder paradox,5,Physics,4800,1200
Laminar flow,5,Physics,4800,1200
Larmor formula,5,Physics,4800,1200
Lavender (color),5,Physics,4800,1200
Length contraction,5,Physics,4800,1200
Lenz's law,5,Physics,4800,1200
Lime (color),5,Physics,4800,1200
Line of purples,5,Physics,4800,1200
Linear motion,5,Physics,4800,1200
Liquid crystal,5,Physics,4800,1200
List of unsolved problems in physics,5,Physics,4800,1200
Locomotion in space,5,Physics,4800,1200
Loop quantum gravity,5,Physics,4800,1200
Lorentz covariance,5,Physics,4800,1200
Lorentz factor,5,Physics,4800,1200
Lorenz gauge condition,5,Physics,4800,1200
Luminescence,5,Physics,4800,1200
Luminiferous aether,5,Physics,4800,1200
Macroscopic scale,5,Physics,4800,1200
Magenta,5,Physics,4800,1200
Magnetic dipole,5,Physics,4800,1200
Magnetic flux,5,Physics,4800,1200
Magnetic flux quantum,5,Physics,4800,1200
Magnetic moment,5,Physics,4800,1200
Magnetic monopole,5,Physics,4800,1200
Magnetic quantum number,5,Physics,4800,1200
Magnetic susceptibility,5,Physics,4800,1200
Magnetization,5,Physics,4800,1200
Magnetohydrodynamics,5,Physics,4800,1200
Many-worlds interpretation,5,Physics,4800,1200
Maroon,5,Physics,4800,1200
Mass flow (life sciences),5,Physics,4800,1200
Mass flow rate,5,Physics,4800,1200
Mathematical formulation of quantum mechanics,5,Physics,4800,1200
Mathematical physics,5,Physics,4800,1200
Mathematics of general relativity,5,Physics,4800,1200
Matrix mechanics,5,Physics,4800,1200
Matter wave,5,Physics,4800,1200
Mauve,5,Physics,4800,1200
Mean-field theory,5,Physics,4800,1200
Measurement in quantum mechanics,5,Physics,4800,1200
Measurement problem,5,Physics,4800,1200
Mechanical advantage,5,Physics,4800,1200
Mechanical equilibrium,5,Physics,4800,1200
Mechanical resonance,5,Physics,4800,1200
Melting point,5,Physics,4800,1200
Mesoscopic physics,5,Physics,4800,1200
Metacentric height,5,Physics,4800,1200
Metallic hydrogen,5,Physics,4800,1200
Metallization pressure,5,Physics,4800,1200
Metal–semiconductor junction,5,Physics,4800,1200
Metastability,5,Physics,4800,1200
Miller index,5,Physics,4800,1200
Minkowski space,5,Physics,4800,1200
Misorientation,5,Physics,4800,1200
Modern physics,5,Physics,4800,1200
Molecular dynamics,5,Physics,4800,1200
